,Feature,Value
0,presence_of_child_ind,0.10407737393632695
1,streaming_entertainment_subs,0.5421967082794926
2,number_of_news_subs,1.5111784840827147
3,age,1.378924220296204
4,gender_Female,0.5966615796881081
5,income_$125k-149k,0.04495590370371695
6,income_$150k-174k,0.2289489773627246
7,income_$175k-199k,0.18152298711414305
8,income_$200k-224k,0.03397383140557632
9,income_$225k-249k,0.08395239404143694
10,income_$250k+,0.09445877257748168
11,income_other,0.024403207212368237
12,state_CA,0.01789872438368568
13,state_other,0.004280647966885896
14,streaming_media_subs_Y,0.0
15,marital_status_M,0.047635302770962756
16,marital_status_U,0.4936788586451554
17,marital_status_other,0.05483860509379798
